LABEL,TIME,FRAME
16+47/64,113.184,5432832
16+3/4,113.616,5453568
16+7/8,114.4,5491200
16+1/1,115.024,5521152
16+9/8,115.632,5550336
16+5/4,116.512,5592576
16+11/8,117.104,5620992
17+0/1,117.696,5649408
17+1/8,118.272,5677056
17+1/4,118.8,5702400
17+3/8,119.392,5730816
17+1/2,119.92,5756160
17+5/8,120.464,5782272
17+3/4,121.024,5809152
17+7/8,121.552,5834496
17+1/1,122.08,5859840
17+9/8,122.672,5888256
17+5/4,123.184,5912832
17+11/8,123.728,5938944
18+0/1,124.384,5970432
18+3/32,124.864,5993472
18+1/8,125.056,6002688
18+3/16,125.328,6015744
18+1/4,125.552,6026496
18+9/32,125.712,6034176
18+3/8,126.128,6054144
18+1/2,126.768,6084864
18+9/16,127.12,6101760
18+5/8,127.44,6117120
18+23/32,128,6144000
18+3/4,128.24,6155520
18+7/8,128.864,6185472
18+1/1,129.36,6209280
18+9/8,129.92,6236160
18+5/4,130.448,6261504
18+11/8,130.896,6283008
19+0/1,131.632,6318336
19+1/8,132.192,6345216
19+1/4,132.72,6370560
19+3/8,133.2,6393600
19+1/2,133.664,6415872
19+5/8,134.16,6439680
19+3/4,134.736,6467328
19+7/8,135.216,6490368
19+1/1,135.728,6514944
19+9/8,136.272,6541056
19+5/4,136.752,6564096
19+11/8,137.296,6590208
20+0/1,137.872,6617856
20+1/8,138.384,6642432
20+1/4,138.864,6665472
20+3/8,139.392,6690816
20+1/2,139.92,6716160
20+5/8,140.416,6739968
20+3/4,141.008,6768384
20+7/8,141.712,6802176
20+1/1,142.4,6835200
20+9/8,142.944,6861312
20+5/4,143.536,6889728
20+11/8,144.272,6925056
21+0/1,145.552,6986496
21+1/8,146.16,7015680
21+1/4,146.816,7047168
21+5/16,147.168,7064064
21+3/8,147.488,7079424
21+7/16,147.728,7090944
21+1/2,148.048,7106304
21+9/16,148.368,7121664
21+5/8,148.768,7140864
21+23/32,149.344,7168512
21+3/4,149.584,7180032
21+7/8,150.112,7205376
21+1/1,150.592,7228416
21+9/8,151.04,7249920
21+19/16,151.296,7262208
21+5/4,151.584,7276032
21+21/16,151.808,7286784
21+11/8,152.048,7298304
21+23/16,152.272,7309056
22+0/1,152.624,7325952
22+1/16,152.944,7341312
22+1/8,153.216,7354368
22+3/16,153.472,7366656
22+1/4,153.712,7378176
22+5/16,153.904,7387392
22+3/8,154.192,7401216
22+7/16,154.464,7414272
22+1/2,154.8,7430400
22+9/16,155.184,7448832
22+5/8,155.504,7464192
22+11/16,155.744,7475712
22+3/4,156.192,7497216
22+7/8,156.864,7529472
22+1/1,157.392,7554816
22+9/8,157.92,7580160
22+5/4,158.544,7610112
22+11/8,159.072,7635456
23+0/1,159.52,7656960
23+1/8,160.176,7688448
23+1/4,160.528,7705344
23+3/8,161.072,7731456
23+1/2,161.712,7762176
23+5/8,162.224,7786752
23+3/4,162.88,7818240
23+7/8,163.44,7845120
23+1/1,163.936,7868928
23+9/8,164.64,7902720
23+5/4,165.2,7929600
23+11/8,165.712,7954176
24+0/1,166.368,7985664
24+1/16,166.992,8015616
24+1/8,167.296,8030208
24+3/16,167.776,8053248
24+1/4,168.176,8072448
24+5/16,168.624,8093952
24+3/8,168.912,8107776
24+7/16,169.264,8124672
24+1/2,169.616,8141568
24+9/16,169.792,8150016
24+37/64,170,8160000
24+19/32,170.144,8166912
24+39/64,170.304,8174592
24+5/8,170.448,8181504
24+21/32,170.768,8196864
24+11/16,171.024,8209152
24+45/64,171.328,8223744
24+23/32,171.44,8229120
24+47/64,171.568,8235264
24+3/4,172,8256000
24+7/8,172.848,8296704
24+1/1,173.488,8327424
24+9/8,174.096,8356608
24+5/4,174.624,8381952
24+11/8,175.184,8408832
25+0/1,176.096,8452608
25+1/8,176.864,8489472
25+1/4,177.456,8517888
25+3/8,178.064,8547072
25+1/2,178.704,8577792
25+5/8,179.184,8600832
25+3/4,179.84,8632320
25+7/8,180.528,8665344
25+1/1,181.072,8691456
25+9/8,181.568,8715264
25+5/4,182.08,8739840
25+11/8,182.656,8767488
26+0/1,183.344,8800512
26+1/8,184.128,8838144
26+1/4,184.752,8868096
26+3/8,185.328,8895744
26+7/16,185.648,8911104
26+1/2,186.08,8931840
26+9/16,186.448,8949504
26+5/8,186.816,8967168
26+11/16,187.104,8980992
26+3/4,187.552,9002496
26+7/8,188.192,9033216
26+1/1,188.832,9063936
26+9/8,190.016,9120768
26+5/4,190.672,9152256
26+11/8,191.232,9179136
27+0/1,191.872,9209856
27+1/8,192.464,9238272
27+1/4,193.072,9267456
27+3/8,193.76,9300480
27+1/2,194.352,9328896
27+5/8,194.944,9357312
27+3/4,195.584,9388032
27+7/8,196.192,9417216
27+15/16,196.448,9429504
27+1/1,196.832,9447936
27+17/16,197.056,9458688
27+9/8,197.536,9481728
27+5/4,198.592,9532416
27+21/16,198.944,9549312
27+11/8,199.328,9567744
27+23/16,199.6,9580800
28+0/1,200.016,9600768
28+1/8,200.688,9633024
28+1/4,201.408,9667584
28+3/8,202.208,9705984
28+7/16,202.608,9725184
28+1/2,202.992,9743616
28+9/16,203.376,9762048
28+5/8,203.936,9788928
28+23/32,204.96,9838080
28+3/4,205.344,9856512
28+7/8,206.192,9897216
28+1/1,206.8,9926400
28+9/8,207.424,9956352
28+5/4,208.016,9984768
28+11/8,208.576,10011648
29+0/1,209.456,10053888
29+1/8,210.16,10087680
29+1/4,210.704,10113792
29+3/8,211.264,10140672
29+27/64,211.552,10154496
29+15/32,211.856,10169088
29+1/2,211.968,10174464
29+33/64,212.128,10182144
29+9/16,212.368,10193664
29+39/64,212.56,10202880
29+5/8,212.784,10213632
29+21/32,212.976,10222848
29+45/64,213.104,10228992
29+3/4,213.376,10242048
29+7/8,214.048,10274304
29+1/1,214.592,10300416
29+9/8,215.056,10322688
29+5/4,215.6,10348800
29+11/8,216.08,10371840
