LABEL,TIME,FRAME
20+1/8,126.448,6069504
20+1/4,126.848,6088704
20+3/8,127.264,6108672
20+1/2,127.776,6133248
20+5/8,128.224,6154752
20+3/4,128.672,6176256
20+7/8,129.296,6206208
20+1/1,129.872,6233856
20+9/8,130.432,6260736
20+5/4,131.072,6291456
20+11/8,131.824,6327552
21+0/1,132.8,6374400
21+1/8,133.792,6422016
21+1/4,134.432,6452736
21+3/8,135.104,6484992
21+1/2,135.664,6511872
21+5/8,136.192,6537216
21+3/4,136.976,6574848
21+7/8,137.584,6604032
21+1/1,138.144,6630912
21+9/8,138.576,6651648
21+5/4,139.104,6676992
21+11/8,139.664,6703872
22+0/1,140.224,6730752
22+1/8,140.848,6760704
22+1/4,141.408,6787584
22+3/8,141.872,6809856
22+1/2,142.384,6834432
22+5/8,143.056,6866688
22+3/4,143.872,6905856
22+7/8,144.544,6938112
22+1/1,145.024,6961152
22+9/8,145.52,6984960
22+5/4,146.032,7009536
22+11/8,146.608,7037184
23+0/1,147.152,7063296
23+1/8,147.824,7095552
23+1/4,148.272,7117056
23+3/8,148.736,7139328
23+1/2,149.28,7165440
23+5/8,149.824,7191552
23+3/4,150.272,7213056
23+7/8,150.768,7236864
23+1/1,151.216,7258368
23+9/8,151.648,7279104
23+5/4,152.192,7305216
23+11/8,152.688,7329024
24+0/1,153.168,7352064
24+1/8,153.92,7388160
24+1/4,154.592,7420416
24+3/8,155.248,7451904
24+1/2,155.712,7474176
24+5/8,156.432,7508736
24+3/4,157.568,7563264
24+7/8,158.208,7593984
24+1/1,158.688,7617024
24+9/8,159.12,7637760
24+5/4,159.6,7660800
24+11/8,160.24,7691520
25+0/1,160.832,7719936
25+1/8,161.488,7751424
25+1/4,162.032,7777536
25+3/8,162.512,7800576
25+1/2,163.136,7830528
25+5/8,163.6,7852800
25+3/4,164.176,7880448
25+7/8,164.704,7905792
25+1/1,165.184,7928832
25+9/8,165.616,7949568
25+5/4,166.08,7971840
25+11/8,166.56,7994880
26+0/1,167.168,8024064
26+1/8,167.84,8056320
26+1/4,168.384,8082432
26+3/8,168.784,8101632
26+1/2,169.408,8131584
26+5/8,170.032,8161536
26+3/4,170.688,8193024
26+7/8,171.376,8226048
26+1/1,172.16,8263680
26+9/8,172.784,8293632
26+5/4,173.536,8329728
26+11/8,174.128,8358144
27+0/1,174.672,8384256
27+1/8,175.2,8409600
27+1/4,175.744,8435712
27+3/8,176.224,8458752
27+1/2,176.784,8485632
27+5/8,177.28,8509440
27+3/4,177.84,8536320
27+7/8,178.448,8565504
27+1/1,179.104,8596992
27+9/8,179.712,8626176
27+5/4,180.672,8672256
27+11/8,181.52,8712960
28+0/1,182.128,8742144
28+1/8,182.688,8769024
28+1/4,183.28,8797440
28+3/8,183.888,8826624
28+1/2,184.784,8869632
28+5/8,185.52,8904960
28+3/4,186.448,8949504
28+7/8,187.216,8986368
28+1/1,187.728,9010944
28+9/8,188.128,9030144
28+5/4,188.672,9056256
28+11/8,189.168,9080064
29+0/1,189.872,9113856
29+1/8,190.592,9148416
29+1/4,191.04,9169920
29+3/8,191.552,9194496
29+1/2,192.272,9229056
29+5/8,192.72,9250560
29+3/4,193.312,9278976
29+7/8,193.888,9306624
29+1/1,194.336,9328128
29+9/8,194.768,9348864
29+5/4,195.216,9370368
29+11/8,195.68,9392640
30+0/1,196.112,9413376
30+1/8,196.72,9442560
30+1/4,197.072,9459456
30+3/8,197.616,9485568
30+1/2,197.952,9501696
30+5/8,198.32,9519360
30+3/4,198.784,9541632
30+7/8,199.312,9566976
30+1/1,199.776,9589248
30+9/8,200.24,9611520
30+5/4,200.688,9633024
30+11/8,201.2,9657600
31+0/1,201.584,9676032
31+1/8,201.968,9694464
31+1/4,202.368,9713664
31+3/8,202.688,9729024
31+1/2,203.072,9747456
31+5/8,203.408,9763584
31+3/4,203.776,9781248
31+7/8,204.272,9805056
31+1/1,204.688,9825024
31+9/8,204.992,9839616
31+5/4,205.392,9858816
31+11/8,205.888,9882624
32+0/1,206.512,9912576
32+3/8,207.76,9972480
32+3/4,208.672,10016256
