LABEL,TIME,FRAME
16+23/32,132.528,6361344
16+47/64,132.592,6364416
16+3/4,132.72,6370560
16+7/8,133.392,6402816
16+1/1,133.888,6426624
16+9/8,134.4,6451200
16+5/4,134.944,6477312
16+11/8,135.712,6514176
17+0/1,136.224,6538752
17+1/8,136.784,6565632
17+1/4,137.328,6591744
17+3/8,137.92,6620160
17+1/2,138.464,6646272
17+5/8,139.168,6680064
17+3/4,139.824,6711552
17+7/8,140.4,6739200
17+1/1,140.976,6766848
17+9/8,141.616,6797568
17+5/4,142.192,6825216
17+11/8,142.864,6857472
18+0/1,143.6,6892800
18+3/32,144.384,6930432
18+1/8,144.528,6937344
18+3/16,145.008,6960384
18+1/4,145.2,6969600
18+9/32,145.616,6989568
18+3/8,146.208,7017984
18+1/2,147.424,7076352
18+9/16,147.696,7089408
18+5/8,148.112,7109376
18+23/32,148.544,7130112
18+3/4,148.752,7140096
18+7/8,149.344,7168512
18+1/1,149.872,7193856
18+9/8,150.416,7219968
18+5/4,151.008,7248384
18+11/8,151.488,7271424
19+0/1,151.92,7292160
19+1/8,152.656,7327488
19+1/4,153.168,7352064
19+3/8,153.632,7374336
19+1/2,154.144,7398912
19+5/8,154.688,7425024
19+3/4,155.488,7463424
19+7/8,156.112,7493376
19+1/1,156.672,7520256
19+9/8,157.152,7543296
19+5/4,157.68,7568640
19+11/8,158.144,7590912
20+0/1,158.688,7617024
20+1/8,159.36,7649280
20+1/4,159.856,7673088
20+3/8,160.432,7700736
20+1/2,161.104,7732992
20+5/8,161.712,7762176
20+3/4,162.368,7793664
20+7/8,163.056,7826688
20+1/1,163.872,7865856
20+9/8,164.624,7901952
20+5/4,165.664,7951872
20+11/8,167.088,8020224
21+0/1,169.536,8137728
21+1/8,170.544,8186112
21+1/4,171.36,8225280
21+5/16,171.888,8250624
21+3/8,172.24,8267520
21+7/16,172.592,8284416
21+1/2,172.784,8293632
21+9/16,173.2,8313600
21+5/8,173.648,8335104
21+23/32,174.4,8371200
21+3/4,174.72,8386560
21+7/8,175.392,8418816
21+1/1,176.032,8449536
21+9/8,176.496,8471808
21+19/16,176.736,8483328
21+5/4,177.008,8496384
21+21/16,177.248,8507904
21+11/8,177.52,8520960
21+23/16,177.76,8532480
22+0/1,178.032,8545536
22+1/16,178.352,8560896
22+1/8,178.624,8573952
22+3/16,178.88,8586240
22+1/4,179.232,8603136
22+5/16,179.536,8617728
22+3/8,179.856,8633088
22+7/16,180.224,8650752
22+1/2,180.768,8676864
22+9/16,181.296,8702208
22+5/8,181.92,8732160
22+11/16,182.544,8762112
22+3/4,183.088,8788224
22+7/8,183.792,8822016
