LABEL,TIME,FRAME
20+1/8,131.142,6294816
20+1/4,131.824,6327552
20+3/8,132.304,6350592
20+1/2,132.928,6380544
20+5/8,133.456,6405888
20+3/4,134.048,6434304
20+7/8,134.704,6465792
20+1/1,135.328,6495744
20+9/8,135.904,6523392
20+5/4,136.64,6558720
20+11/8,137.472,6598656
21+0/1,138.45,6645600
21+1/8,139.53,6697440
21+1/4,140.144,6726912
21+3/8,140.892,6762816
21+1/2,141.402,6787296
21+5/8,142.188,6825024
21+3/4,142.824,6855552
21+7/8,143.436,6884928
21+1/1,144.048,6914304
21+9/8,144.534,6937632
21+5/4,145.05,6962400
21+11/8,145.47,6982560
22+0/1,145.974,7006752
22+1/8,146.528,7033344
22+1/4,146.976,7054848
22+3/8,147.474,7078752
22+1/2,148,7104000
22+5/8,148.74,7139520
22+3/4,149.472,7174656
22+7/8,150.096,7204608
22+1/1,150.672,7232256
22+9/8,151.184,7256832
22+5/4,151.752,7284096
22+11/8,152.298,7310304
23+0/1,152.724,7330752
23+1/8,153.312,7358976
23+1/4,154.194,7401312
23+3/8,155.1,7444800
23+1/2,155.696,7473408
23+5/8,156.256,7500288
23+3/4,156.732,7523136
23+7/8,157.232,7547136
23+1/1,157.728,7570944
23+9/8,158.176,7592448
23+5/4,158.72,7618560
23+11/8,159.264,7644672
24+0/1,159.822,7671456
24+1/8,160.794,7718112
24+1/4,161.652,7759296
24+3/8,162.36,7793280
24+1/2,162.96,7822080
24+5/8,163.83,7863840
24+3/4,164.97,7918560
24+7/8,165.564,7947072
24+1/1,166.062,7970976
24+9/8,166.524,7993152
24+5/4,167.104,8020992
24+11/8,167.634,8046432
25+0/1,168.312,8078976
25+1/8,168.944,8109312
25+1/4,169.456,8133888
25+3/8,169.854,8152992
25+1/2,170.368,8177664
25+5/8,170.912,8203776
25+3/4,171.424,8228352
25+7/8,171.936,8252928
25+1/1,172.4,8275200
25+9/8,172.866,8297568
25+5/4,173.37,8321760
25+11/8,173.982,8351136
26+0/1,174.684,8384832
26+1/8,175.264,8412672
26+1/4,175.878,8442144
26+3/8,176.334,8464032
26+1/2,176.864,8489472
26+5/8,177.54,8521920
26+3/4,178.062,8546976
26+7/8,178.566,8571168
26+1/1,179.178,8600544
26+9/8,179.652,8623296
26+5/4,180.348,8656704
26+11/8,180.96,8686080
27+0/1,181.504,8712192
27+1/8,181.952,8733696
27+1/4,182.64,8766720
27+3/8,183.072,8787456
27+1/2,183.552,8810496
27+5/8,184.074,8835552
27+3/4,184.518,8856864
27+7/8,185.046,8882208
27+1/1,185.52,8904960
27+9/8,186.096,8932608
27+5/4,186.832,8967936
27+11/8,187.62,9005760
28+0/1,188.192,9033216
28+1/8,188.752,9060096
28+1/4,189.384,9090432
28+3/8,190.032,9121536
28+1/2,190.68,9152640
28+5/8,191.604,9196992
28+3/4,192.39,9234720
28+7/8,193.026,9265248
28+1/1,193.572,9291456
28+9/8,194.064,9315072
28+5/4,194.556,9338688
28+11/8,195.168,9368064
29+0/1,195.84,9400320
29+1/8,196.356,9425088
29+1/4,196.864,9449472
29+3/8,197.304,9470592
29+1/2,197.886,9498528
29+5/8,198.51,9528480
29+3/4,198.978,9550944
29+7/8,199.44,9573120
29+1/1,199.938,9597024
29+9/8,200.328,9615744
29+5/4,200.848,9640704
29+11/8,201.396,9667008
30+0/1,201.852,9688896
30+1/8,202.347,9712640
30+1/4,202.987,9743360
30+3/8,203.472,9766656
30+1/2,203.861,9785344
30+5/8,204.245,9803776
30+3/4,204.912,9835776
30+7/8,205.44,9861120
30+1/1,205.824,9879552
30+9/8,206.32,9903360
30+5/4,206.736,9923328
30+11/8,207.157,9943552
31+0/1,207.525,9961216
31+1/8,207.92,9980160
31+1/4,208.315,9999104
31+3/8,208.661,10015744
31+1/2,209.045,10034176
31+5/8,209.419,10052096
31+3/4,209.915,10075904
31+7/8,210.501,10104064
31+1/1,210.997,10127872
31+9/8,211.419,10148096
31+5/4,211.888,10170624
31+11/8,212.469,10198528
32+0/1,213.232,10235136
32+3/8,214.752,10308096
32+3/4,216.235,10379264
