LABEL,TIME,FRAME
19+11/8,122.864,5897472
20+0/1,123.381,5922304
20+1/8,123.856,5945088
20+1/4,124.256,5964288
20+3/8,124.816,5991168
20+1/2,125.291,6013952
20+5/8,125.744,6035712
20+3/4,126.315,6063104
20+7/8,127.184,6104832
20+1/1,127.872,6137856
20+9/8,128.416,6163968
20+5/4,128.992,6191616
20+11/8,129.68,6224640
21+0/1,130.741,6275584
21+1/8,131.605,6317056
21+1/4,132.192,6345216
21+3/8,132.768,6372864
21+1/2,133.205,6393856
21+5/8,133.92,6428160
21+3/4,134.741,6467584
21+7/8,135.248,6491904
21+1/1,135.76,6516480
21+9/8,136.338,6544224
21+5/4,136.8,6566400
21+11/8,137.269,6588928
22+0/1,137.712,6610176
22+1/8,138.16,6631680
22+1/4,138.56,6650880
22+3/8,138.955,6669824
22+1/2,139.374,6689952
22+5/8,140.181,6728704
22+3/4,141.088,6772224
22+7/8,141.792,6806016
22+1/1,142.283,6829568
22+9/8,142.816,6855168
22+5/4,143.36,6881280
22+11/8,143.85,6904800
23+0/1,144.384,6930432
23+1/8,144.846,6952608
23+1/4,145.333,6976000
23+3/8,145.941,7005184
23+1/2,146.517,7032832
23+5/8,146.976,7054848
23+3/4,147.488,7079424
23+7/8,147.968,7102464
23+1/1,148.384,7122432
23+9/8,148.928,7148544
23+5/4,149.355,7169024
23+11/8,149.835,7192064
24+0/1,150.507,7224320
24+1/8,151.456,7269888
24+1/4,152.538,7321824
24+3/8,153.173,7352320
24+1/2,153.69,7377120
24+5/8,154.539,7417856
24+3/4,156.171,7496192
24+7/8,156.832,7527936
24+1/1,157.312,7550976
24+9/8,157.728,7570944
24+5/4,158.192,7593216
24+11/8,158.766,7620768
25+0/1,159.573,7659520
25+1/8,160.336,7696128
25+1/4,161.056,7730688
25+3/8,161.76,7764480
25+1/2,162.304,7790592
25+5/8,162.928,7820544
25+3/4,163.627,7854080
25+7/8,164.416,7891968
25+1/1,164.896,7915008
25+9/8,165.328,7935744
25+5/4,165.756,7956288
25+11/8,166.304,7982592
26+0/1,167.232,8027136
26+1/8,167.936,8060928
26+1/4,168.384,8082432
26+3/8,168.875,8105984
26+1/2,169.515,8136704
26+5/8,170.005,8160256
26+3/4,170.56,8186880
26+7/8,171.184,8216832
26+1/1,171.829,8247808
26+9/8,173.003,8304128
26+5/4,173.664,8335872
26+11/8,174.176,8360448
27+0/1,174.8,8390400
27+1/8,175.36,8417280
27+1/4,175.819,8439296
27+3/8,176.288,8461824
27+1/2,176.656,8479488
27+5/8,177.136,8502528
27+3/4,177.576,8523648
27+7/8,178.069,8547328
27+1/1,178.613,8573440
27+9/8,179.552,8618496
27+5/4,180.384,8658432
27+11/8,181.013,8688640
28+0/1,181.616,8717568
28+1/8,182.128,8742144
28+1/4,182.67,8768160
28+3/8,183.253,8796160
28+1/2,183.894,8826912
28+5/8,184.782,8869536
28+3/4,185.856,8921088
28+7/8,186.576,8955648
28+1/1,187.104,8980992
28+9/8,187.568,9003264
28+5/4,188.052,9026496
28+11/8,188.628,9054144
29+0/1,189.536,9097728
29+1/8,190.352,9136896
29+1/4,190.827,9159680
29+3/8,191.424,9188352
29+1/2,191.922,9212256
29+5/8,192.612,9245376
29+3/4,193.397,9283072
29+7/8,193.926,9308448
29+1/1,194.4,9331200
29+9/8,194.778,9349344
29+5/4,195.216,9370368
29+11/8,195.632,9390336
30+0/1,196.248,9419904
30+1/8,196.816,9447168
30+1/4,197.192,9465216
30+3/8,197.589,9484288
30+1/2,197.997,9503872
30+5/8,198.408,9523584
30+3/4,199.008,9552384
30+7/8,199.552,9578496
30+1/1,200.176,9608448
30+9/8,200.624,9629952
30+5/4,201.04,9649920
30+11/8,201.392,9666816
31+0/1,201.76,9684480
31+1/8,202.096,9700608
31+1/4,202.432,9716736
31+3/8,202.806,9734688
31+1/2,203.152,9751296
31+5/8,203.504,9768192
31+3/4,203.922,9788256
31+7/8,204.408,9811584
31+1/1,204.88,9834240
31+9/8,205.224,9850752
31+5/4,205.668,9872064
31+11/8,206.288,9901824
32+0/1,207.024,9937152
32+3/8,208.124,9989952
32+3/4,209.142,10038816
