LABEL,TIME,FRAME
16+47/64,108.96,5230080
16+3/4,109.312,5246976
16+7/8,109.984,5279232
16+1/1,110.48,5303040
16+9/8,110.96,5326080
16+5/4,111.456,5349888
16+11/8,111.952,5373696
17+0/1,112.544,5402112
17+1/8,113.104,5428992
17+1/4,113.632,5454336
17+3/8,114.144,5478912
17+1/2,114.64,5502720
17+5/8,115.152,5527296
17+3/4,115.744,5555712
17+7/8,116.352,5584896
17+1/1,116.816,5607168
17+9/8,117.28,5629440
17+5/4,117.808,5654784
17+11/8,118.352,5680896
18+0/1,118.864,5705472
18+3/32,119.392,5730816
18+1/8,119.584,5740032
18+3/16,119.808,5750784
18+1/4,120.048,5762304
18+9/32,120.272,5773056
18+3/8,120.784,5797632
18+1/2,121.536,5833728
18+9/16,121.824,5847552
18+5/8,122.16,5863680
18+23/32,122.8,5894400
18+3/4,123.04,5905920
18+7/8,123.696,5937408
18+1/1,124.192,5961216
18+9/8,124.624,5981952
18+5/4,125.184,6008832
18+11/8,125.568,6027264
19+0/1,126.112,6053376
19+1/8,126.672,6080256
19+1/4,127.136,6102528
19+3/8,127.632,6126336
19+1/2,128.144,6150912
19+5/8,128.624,6173952
19+3/4,129.12,6197760
19+7/8,129.6,6220800
19+1/1,130.032,6241536
19+9/8,130.48,6263040
19+5/4,130.976,6286848
19+11/8,131.424,6308352
20+0/1,132.048,6338304
20+1/8,132.672,6368256
20+1/4,133.136,6390528
20+3/8,133.68,6416640
20+1/2,134.336,6448128
20+5/8,134.848,6472704
20+3/4,135.376,6498048
20+7/8,135.904,6523392
20+1/1,136.704,6561792
20+9/8,137.264,6588672
20+5/4,137.888,6618624
20+11/8,138.896,6667008
21+0/1,139.84,6712320
21+1/8,140.592,6748416
21+1/4,141.28,6781440
21+5/16,141.552,6794496
21+3/8,141.808,6806784
21+7/16,142.048,6818304
21+1/2,142.352,6832896
21+9/16,142.512,6840576
21+5/8,142.944,6861312
21+23/32,143.616,6893568
21+3/4,143.84,6904320
21+7/8,144.592,6940416
21+1/1,145.072,6963456
21+9/8,145.52,6984960
21+19/16,145.856,7001088
21+5/4,146.176,7016448
21+21/16,146.464,7030272
21+11/8,146.704,7041792
21+23/16,146.912,7051776
22+0/1,147.248,7067904
22+1/16,147.584,7084032
22+1/8,147.92,7100160
22+3/16,148.16,7111680
22+1/4,148.416,7123968
22+5/16,148.656,7135488
22+3/8,148.896,7147008
22+7/16,149.104,7156992
22+1/2,149.456,7173888
22+9/16,149.728,7186944
22+5/8,150.064,7203072
22+11/16,150.544,7226112
22+3/4,151.072,7251456
22+7/8,151.776,7285248
22+1/1,152.288,7309824
22+9/8,152.816,7335168
22+5/4,153.424,7364352
22+11/8,153.952,7389696
23+0/1,154.624,7421952
23+1/8,155.216,7450368
23+1/4,155.968,7486464
23+3/8,156.864,7529472
23+1/2,157.536,7561728
23+5/8,158.16,7591680
23+3/4,158.72,7618560
23+7/8,159.28,7645440
23+1/1,159.744,7667712
23+9/8,160.272,7693056
23+5/4,160.832,7719936
23+11/8,161.36,7745280
24+0/1,162.016,7776768
24+1/16,162.496,7799808
24+1/8,162.896,7819008
24+3/16,163.424,7844352
24+1/4,163.664,7855872
24+5/16,164.304,7886592
24+3/8,164.576,7899648
24+7/16,164.8,7910400
24+1/2,165.152,7927296
24+9/16,165.376,7938048
24+37/64,165.536,7945728
24+19/32,165.712,7954176
24+39/64,165.856,7961088
24+5/8,165.984,7967232
24+21/32,166.128,7974144
24+11/16,166.224,7978752
24+45/64,166.32,7983360
24+23/32,166.4,7987200
24+47/64,166.448,7989504
24+3/4,166.8,8006400
24+7/8,167.52,8040960
24+1/1,167.968,8062464
24+9/8,168.512,8088576
24+5/4,169.008,8112384
24+11/8,169.536,8137728
25+0/1,170.32,8175360
25+1/8,171.088,8212224
25+1/4,171.568,8235264
25+3/8,172.032,8257536
25+1/2,172.576,8283648
25+5/8,173.056,8306688
25+3/4,173.648,8335104
25+7/8,174.256,8364288
25+1/1,174.784,8389632
25+9/8,175.264,8412672
25+5/4,175.744,8435712
25+11/8,176.224,8458752
26+0/1,176.816,8487168
26+1/8,177.648,8527104
26+1/4,178.176,8552448
26+3/8,178.72,8578560
26+7/16,179.088,8596224
26+1/2,179.36,8609280
26+9/16,179.744,8627712
26+5/8,179.968,8638464
26+11/16,180.272,8653056
26+3/4,180.576,8667648
26+7/8,181.216,8698368
26+1/1,181.728,8722944
26+9/8,182.896,8779008
26+5/4,183.776,8821248
26+11/8,184.272,8845056
27+0/1,184.8,8870400
27+1/8,185.472,8902656
27+1/4,186.032,8929536
27+3/8,186.528,8953344
27+1/2,187.024,8977152
27+5/8,187.488,8999424
27+3/4,187.984,9023232
27+7/8,188.528,9049344
27+15/16,188.8,9062400
27+1/1,189.104,9076992
27+17/16,189.392,9090816
27+9/8,189.856,9113088
27+5/4,190.768,9156864
27+21/16,191.12,9173760
27+11/8,191.392,9186816
27+23/16,191.648,9199104
28+0/1,191.936,9212928
28+1/8,192.512,9240576
28+1/4,193.072,9267456
28+3/8,193.872,9305856
28+7/16,194.368,9329664
28+1/2,194.736,9347328
28+9/16,195.04,9361920
28+5/8,195.536,9385728
28+23/32,196.256,9420288
28+3/4,196.576,9435648
28+7/8,197.344,9472512
28+1/1,197.872,9497856
28+9/8,198.352,9520896
28+5/4,198.864,9545472
28+11/8,199.44,9573120
29+0/1,200.256,9612288
29+1/8,200.912,9643776
29+1/4,201.408,9667584
29+3/8,201.952,9693696
29+27/64,202.272,9709056
29+15/32,202.544,9722112
29+1/2,202.656,9727488
29+33/64,202.768,9732864
29+9/16,202.944,9741312
29+39/64,203.136,9750528
29+5/8,203.248,9755904
29+21/32,203.376,9762048
29+45/64,203.552,9770496
29+3/4,203.92,9788160
29+7/8,204.784,9829632
29+1/1,205.264,9852672
29+9/8,205.744,9875712
29+5/4,206.24,9899520
29+11/8,206.8,9926400
30+0/1,207.584,9964032
30+1/8,208.288,9997824
30+3/16,208.512,10008576
30+1/4,208.704,10017792
30+5/16,209.184,10040832
30+3/8,209.312,10046976
30+7/16,209.648,10063104
30+1/2,209.84,10072320
30+9/16,210.048,10082304
30+5/8,210.304,10094592
30+11/16,210.512,10104576
30+23/32,210.608,10109184
30+3/4,210.72,10114560
30+7/8,211.264,10140672
30+1/1,211.68,10160640
30+9/8,212.096,10180608
30+5/4,212.592,10204416
30+11/8,213.008,10224384
31+0/1,213.392,10242816
31+1/8,213.792,10262016
31+1/4,214.16,10279680
31+3/8,214.656,10303488
31+1/2,215.248,10331904
31+5/8,215.632,10350336
31+3/4,216.096,10372608
31+7/8,216.608,10397184
31+1/1,217.088,10420224
31+9/8,217.536,10441728
31+5/4,218.096,10468608
31+11/8,218.72,10498560
32+0/1,219.648,10543104
32+3/32,220.24,10571520
32+3/16,220.72,10594560
32+9/32,221.024,10609152
32+3/8,221.312,10622976
32+15/32,221.68,10640640
32+9/16,222.064,10659072
32+21/32,222.544,10682112
32+3/4,223.136,10710528
33+0/1,N,N
33+1/32,N,N
33+1/16,N,N
33+3/32,N,N
33+1/8,N,N
33+5/32,N,N
33+3/16,N,N
33+7/32,N,N
33+1/4,N,N
33+9/32,N,N
33+5/16,N,N
33+11/32,N,N
33+3/8,N,N
33+13/32,N,N
33+7/16,N,N
33+15/32,N,N
33+1/2,N,N
33+17/32,N,N
33+9/16,N,N
33+19/32,N,N
33+5/8,N,N
33+21/32,N,N
33+11/16,N,N
33+23/32,N,N
34+0/1,N,N
34+1/32,N,N
34+1/16,N,N
34+3/32,N,N
34+1/8,N,N
34+5/32,N,N
34+3/16,N,N
34+7/32,N,N
34+1/4,N,N
34+9/32,N,N
34+5/16,N,N
34+11/32,N,N
34+3/8,N,N
34+13/32,N,N
34+7/16,N,N
34+15/32,N,N
34+1/2,N,N
34+17/32,N,N
34+9/16,N,N
34+19/32,N,N
34+5/8,N,N
34+21/32,N,N
34+11/16,N,N
34+23/32,N,N
35+0/1,N,N
35+1/32,N,N
35+1/16,N,N
35+3/32,N,N
35+1/8,N,N
35+5/32,N,N
35+3/16,N,N
35+7/32,N,N
35+1/4,N,N
35+9/32,N,N
35+5/16,N,N
35+11/32,N,N
35+3/8,N,N
35+13/32,N,N
35+7/16,N,N
35+15/32,N,N
36+0/1,N,N
36+1/8,N,N
36+1/4,N,N
36+3/8,N,N
36+1/2,N,N
36+5/8,N,N
36+3/4,N,N
36+7/8,N,N
36+1/1,N,N
36+9/8,N,N
36+5/4,N,N
36+11/8,N,N
37+0/1,N,N
37+3/8,N,N
37+3/4,N,N
